what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1413781399503
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1413781399517
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1413781399529
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1413781399543
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1413781399543
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1413781399549
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1413781399549
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1413781399557
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1413781399563
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1413781399573
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1413781399591
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1413781399607
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1413781399681
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1413781399693
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1413781399701
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1413781399716
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1413781399716
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1413781399733
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1413781399744
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1413781399757
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1413781399770
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1413781399780
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1413781399797
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1413781399809
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1413781399821
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1413781399840
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1413781399885
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1413781399885
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1413781399891
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1413781399897
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.ui",1413781399902
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1413781399919
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1413781399925
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1413781399940
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1413781399954
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1413781399971
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.index.core",1413781399977
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1413781400002
os,sysinfo,,,"macosx",1413781400027
arch,sysinfo,,,"x86",1413781400027
ws,sysinfo,,,"cocoa",1413781400027
locale,sysinfo,,,"fr_FR",1413781400027
processors,sysinfo,,,"2",1413781400027
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413781400027
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1413781400027
java.specification.name,sysinfo,,,"Java Platform API Specification",1413781400027
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1413781400027
java.specification.version,sysinfo,,,"1.6",1413781400027
java.vendor,sysinfo,,,"Apple Inc.",1413781400027
java.version,sysinfo,,,"1.6.0_65",1413781400027
java.vm.info,sysinfo,,,"mixed mode",1413781400027
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413781400027
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413781400027
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1413781400027
java.vm.specification.version,sysinfo,,,"1.0",1413781400027
java.vm.vendor,sysinfo,,,"Apple Inc.",1413781400027
java.vm.version,sysinfo,,,"20.65-b04-462",1413781400027
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1413781400192
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1413781400299
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project tp2.",1413781400316
error,log,,,"Could not instantiate provider org.eclipse.egit.core.GitProvider for project tp3.",1413781400359
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1413781400425
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1413781401237
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413781412331
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1413781412459
